"effect","group","term","estimate","std.error","statistic","df","p.value","response_var","predictor","n_obs","FDR_p"
"fixed",NA,"lat",0.0166167844205956,0.00997003838684689,1.66667206041228,58.0599190984316,0.100966038883263,"PFBA","lat",115,0.22436897529614
"fixed",NA,"long",-0.000632907224003297,0.000604713769703034,-1.04662280852991,53.8616374518474,0.299947813573451,"PFBA","long",115,0.479916501717522
"fixed",NA,"lat",0.000774126945097695,0.000708050929936438,1.09332099199021,74.4238037642257,0.277779140297535,"PFBS","lat",115,0.479916501717522
"fixed",NA,"long",-9.86575101302654e-06,4.13586319701518e-05,-0.2385415218798,76.3101640873469,0.812100535453574,"PFBS","long",115,0.854842668898499
"fixed",NA,"lat",5.80832137041739,0.837993714941542,6.93122307107349,65.1569341841928,2.27021089426188e-09,"PFDA","lat",115,2.27021089426188e-08
"fixed",NA,"long",-0.0394516395495928,0.0668188915090318,-0.590426429691073,63.8436056898198,0.556989055224154,"PFDA","long",115,0.696236319030193
"fixed",NA,"lat",1.07797029359201,0.345552783645752,3.11955320463314,63.8278443138716,0.00271814208763817,"PFDOA","lat",115,0.0144921176019093
"fixed",NA,"long",-0.0250033476922289,0.0221910157632947,-1.1267329066381,61.8212034708244,0.264210028695288,"PFDOA","long",115,0.479916501717522
"fixed",NA,"lat",-0.154605015557059,0.0507430459450093,-3.04682174035444,69.9768763670222,0.00326072646042959,"PFDS","lat",114,0.0144921176019093
"fixed",NA,"long",-0.00204816958720158,0.00312666330005272,-0.655065605294642,65.8682489344265,0.514706755360637,"PFDS","long",114,0.667814969187146
"fixed",NA,"lat",0.0324356952154238,0.0145801868631855,2.22464194182057,68.5485943570782,0.0294004293048973,"PFHPA","lat",115,0.0980014310163243
"fixed",NA,"long",-0.000251528090880265,0.000905252058588671,-0.27785420479729,64.6652578565236,0.782010726688246,"PFHPA","long",115,0.847115604454556
"fixed",NA,"lat",0.121732653736549,0.10385662703934,1.17212215731248,66.1803573225214,0.2453502470666,"PFHPS","lat",115,0.479916501717522
"fixed",NA,"long",-0.0051359348239077,0.00632082741286358,-0.81254153743472,64.396274587462,0.419474732594374,"PFHPS","long",115,0.579359412843096
"fixed",NA,"lat",-0.00332879524687188,0.000949983287927672,-3.50405663886302,62.4393952505569,0.000853469416239918,"PFHXA","lat",115,0.00568979610826612
"fixed",NA,"long",-5.24354013430047e-05,6.13931532609515e-05,-0.854092004691926,58.9781743564123,0.396509895956131,"PFHXA","long",115,0.579359412843096
"fixed",NA,"lat",0.190131122524591,0.0761702344578386,2.49613413793325,62.5701368956723,0.0152034742786567,"PFHXS","lat",115,0.055285361013297
"fixed",NA,"long",-0.00229676135617746,0.00482204227864788,-0.476304690721518,60.9854597797712,0.635559394371698,"PFHXS","long",115,0.768579782033886
"fixed",NA,"lat",20.1518482860419,2.23711760266999,9.00795213536864,65.0050242912771,4.79311291101254e-13,"PFNA","lat",115,1.91724516440501e-11
"fixed",NA,"long",-0.168610859055799,0.202621007349348,-0.832148952675425,64.1923237860122,0.408409988807207,"PFNA","long",115,0.579359412843096
"fixed",NA,"lat",0.00175921998670448,0.0162779499652932,0.108073804776116,60.7588527787283,0.914293252196903,"PFNS","lat",115,0.914293252196903
"fixed",NA,"long",-0.000413756546371425,0.000973741312597991,-0.424914236479812,56.7037828602728,0.672507309279651,"PFNS","long",115,0.768579782033886
"fixed",NA,"lat",0.743255876975583,0.268582848702821,2.76732442360075,69.1311868295259,0.00724591908558668,"PFOA","lat",115,0.0289836763423467
"fixed",NA,"long",-0.00757156809424735,0.0168435043951189,-0.449524512039283,64.1439516155035,0.654568674125494,"PFOA","long",115,0.768579782033886
"fixed",NA,"lat",-19.6362311095298,9.36893263002353,-2.09588774783201,64.4770065004644,0.040022473919056,"PFOS","lat",115,0.114349925483017
"fixed",NA,"long",-0.380204197092976,0.584218225650908,-0.650791400198736,62.7648303335588,0.517556601120038,"PFOS","long",115,0.667814969187146
"fixed",NA,"lat",0.000476737902294936,0.000275358327443739,1.73133642523429,115.000000000462,0.0860735825264733,"PFPES","lat",115,0.215183956316183
"fixed",NA,"long",-4.43743161565276e-06,1.61186945927868e-05,-0.275297207854446,114.999999998784,0.783581934120464,"PFPES","long",115,0.847115604454556
"fixed",NA,"lat",0.214331263460655,0.106580080884053,2.01098799778378,64.014415997123,0.0485421465766366,"PFTEDA","lat",115,0.129445724204364
"fixed",NA,"long",-0.00736161916254105,0.00660524416061423,-1.11451128581089,62.898239791774,0.269300481040413,"PFTEDA","long",115,0.479916501717522
"fixed",NA,"lat",3.13653126730104,0.403382543647061,7.77557511275288,66.3523226053094,6.47024031725701e-11,"PFTRDA","lat",115,8.62698708967601e-10
"fixed",NA,"long",-0.0353783091293189,0.0334481912628823,-1.0577047007196,63.268027594452,0.294211920778755,"PFTRDA","long",115,0.479916501717522
"fixed",NA,"lat",9.49332224581531,1.18613895787506,8.00354982254559,65.515205389912,2.73489757843564e-11,"PFUNDA","lat",115,5.46979515687128e-10
