"PFAS","WBC_var","rho","p.value","n","FDR_p"
"PFOA","Lperc",-0.170125787614745,0.168700794180077,67,0.646234933517775
"PFOA","Hperc",0.139648887070151,0.259701340104626,67,0.72372601818783
"PFOA","Eperc",0.0314377692628738,0.800616771824632,67,0.942680076772857
"PFOA","Mperc",0.0747143978588729,0.547909578101612,67,0.870209329926089
"PFOA","Bperc",-0.0500052834674671,0.687787320743267,67,0.942680076772857
"PFOA","Total_count",0.0215264843903483,0.862725374201724,67,0.944353992654819
"PFODA","Lperc",NA,NA,22,NA
"PFODA","Hperc",NA,NA,22,NA
"PFODA","Eperc",NA,NA,22,NA
"PFODA","Mperc",NA,NA,22,NA
"PFODA","Bperc",NA,NA,22,NA
"PFODA","Total_count",NA,NA,22,NA
"PFOS","Lperc",-0.143681086016328,0.246057654706903,67,0.72372601818783
"PFOS","Hperc",-0.190215818733713,0.123122979375695,67,0.646234933517775
"PFOS","Eperc",0.045560677758855,0.714288766135486,67,0.942680076772857
"PFOS","Mperc",-0.0306028862635354,0.805806934629459,67,0.942680076772857
"PFOS","Bperc",-0.242629989538067,0.0478941395649809,67,0.593170250802812
"PFOS","Total_count",-0.0259040473043494,0.835167761650678,67,0.942680076772857
"PFPEA","Lperc",NA,NA,66,NA
"PFPEA","Hperc",NA,NA,66,NA
"PFPEA","Eperc",NA,NA,66,NA
"PFPEA","Mperc",NA,NA,66,NA
"PFPEA","Bperc",NA,NA,66,NA
"PFPEA","Total_count",NA,NA,66,NA
"PFPES","Lperc",0.0254626865239028,0.837937846020317,67,0.942680076772857
"PFPES","Hperc",-0.171859414368867,0.164338343155086,67,0.646234933517775
"PFPES","Eperc",0.171867988776,0.164316975020079,67,0.646234933517775
"PFPES","Mperc",0.0269929846493014,0.828341938857524,67,0.942680076772857
"PFPES","Bperc",-0.134473563868715,0.27794995485435,67,0.72372601818783
"PFPES","Total_count",-0.073204493234426,0.55604982736165,67,0.870338860218235
"PFTEDA","Lperc",-0.0468369590266273,0.706642634327151,67,0.942680076772857
"PFTEDA","Hperc",0.101787923615402,0.412431322547898,67,0.804169260484995
"PFTEDA","Eperc",-0.165191623347473,0.18158058495429,67,0.646234933517775
"PFTEDA","Mperc",-0.00930839836436856,0.940405466850583,67,0.958148966225122
"PFTEDA","Bperc",-0.131097560779876,0.290302827962191,67,0.72372601818783
"PFTEDA","Total_count",-0.17000429154195,0.169009675516131,67,0.646234933517775
"PFTRDA","Lperc",0.0441229298712709,0.72293588221867,67,0.942680076772857
"PFTRDA","Hperc",0.097258251264746,0.433644586026779,67,0.807476125705037
"PFTRDA","Eperc",-0.301806971672768,0.0130617490271623,67,0.464693498662363
"PFTRDA","Mperc",0.0262962253793412,0.832708033165143,67,0.942680076772857
"PFTRDA","Bperc",0.0559143949428207,0.653130240924647,67,0.942680076772857
"PFTRDA","Total_count",-0.25170373626231,0.0399060411528361,67,0.593170250802812
"PFUNDA","Lperc",0.0308521255454477,0.804256618993464,67,0.942680076772857
"PFUNDA","Hperc",0.142435247748822,0.250219715038198,67,0.72372601818783
"PFUNDA","Eperc",-0.182552907753404,0.139248404253246,67,0.646234933517775
"PFUNDA","Mperc",0.0756307367104945,0.542997598141448,67,0.870209329926089
"PFUNDA","Bperc",0.100806312618502,0.416976653584812,67,0.804169260484995
"PFUNDA","Total_count",-0.283912554967405,0.0198948849563989,67,0.464693498662363
"PFEESA","Lperc",NA,NA,45,NA
"PFEESA","Hperc",NA,NA,45,NA
"PFEESA","Eperc",NA,NA,45,NA
"PFEESA","Mperc",NA,NA,45,NA
"PFEESA","Bperc",NA,NA,45,NA
"PFEESA","Total_count",NA,NA,45,NA
"PFDoS","Lperc",NA,NA,45,NA
"PFDoS","Hperc",NA,NA,45,NA
"PFDoS","Eperc",NA,NA,45,NA
"PFDoS","Mperc",NA,NA,45,NA
"PFDoS","Bperc",NA,NA,45,NA
"PFDoS","Total_count",NA,NA,45,NA
"TOTAL_PFAS","Lperc",-0.115485931779758,0.3520489196162,67,0.79055902607143
"TOTAL_PFAS","Hperc",-0.0854252305425477,0.49187180672084,67,0.836368223603983
"TOTAL_PFAS","Eperc",-0.02588228261436,0.835304315462617,67,0.942680076772857
"TOTAL_PFAS","Mperc",0.0369374171458807,0.766651857153236,67,0.942680076772857
"TOTAL_PFAS","Bperc",-0.122254901778253,0.324343869459019,67,0.761502997860305
"TOTAL_PFAS","Total_count",-0.0899412304237081,0.469179279693675,67,0.830678068965852
