bird_id,igy,clysis,PCR_avmal,DNA_sex,field_id,lat,long,date,year,nest_name,county,nest_no,fws,field_sex,blood_vol,feathers,weight_kg,culman_mm,hallux_mm,bill_mm,primary_mm,foot_mm,Crop,Notes,age,FOV,RBC_per_FOV,L,H,E,M,B,Total_count,H_L,Lperc,Hperc,Eperc,Mperc,Bperc,wslh_specimen_id,FTSA8_2,FOSA,N_ETFOSAA,N_MEFOSAA,PFBA,PFDA,PFDOA,PFDS,PFHPA,PFHPS,PFHXA,PFHXS,PFNA,PFNS,PFOA,PFOS,PFTEDA,PFTRDA,PFUNDA,TOTAL_PFAS
AS90-002,0.36005,0,,M,BAEA-AS90-2024-M-002,46.96597,-90.66873,6/12/24,2024,Manitou Island,ASHLAND,AS-90a,0829-04156,M,12,Y,4.01,42,31.7,29.7,180,136,4-Mar,,45.1,,,,,,,,,,,,,,,,0,0.122,0,0,0.124,36.1,9.01,0.911,0.844,1.4,0,2.23,119,0.108,10.2,149,1.95,21.6,52.8,405.399
AS99-001,0.23815,0.03655,,M,BAEA-AS99-2024-M-001,46.8681,-90.72241,6/12/24,2024,Basswood Island - North side,ASHLAND,AS-99c,0829-04157,M,12,Y,3.92,45.4,35.2,31.5,213,137,4-Jan,,49.7,,,,,,,,,,,,,,,,0,0.075,0,0,0.137,18.9,5.78,0.412,0,0.964,0,0.898,59.7,0,0.639,83.5,1.21,12.7,26.5,211.415
AS99-002,0.2346,0.05125,,M,BAEA-AS99-2024-M-002,46.8681,-90.72241,6/12/24,2024,Basswood Island - North side,ASHLAND,AS-99c,0829-04158,F,12,Y,3.9,48.5,35.1,32.6,186,140,0,,45.9,,,,,,,,,,,,,,,,0,0.081,0,0,0,19.5,5.28,0.463,0.048,1,0,0.806,85.8,0.072,1.36,86.8,1.3,14.1,26.1,242.71
BR09-001,0.312,0.169,N,F,BAEA-BR09-2023-M-001,44.46005,-88.06965,5/19/23,2023,Brown Cty Fairgrounds,BROWN,BR-09,0709-05672,F,12,Y,4.55,48.2,38.5,32.7,215,144,0,,50,30,300,50,33,15,0,8,106,0.66,0.5,0.33,0.15,0,0.08,23CR000943,0.916,0.406,0.828,0.485,0,16.5,10.7,1.48,0,0.822,0,1.51,5.4,0.199,0.119,195,1.8,6.76,15.6,258.711
BR09-002,0.567,0.139,N,F,BAEA-BR09-2023-S-002,44.46005,-88.06965,5/19/23,2023,Brown Cty Fairgrounds,BROWN,BR-09,0709-05673,F,12,Y,3.53,44.7,36,30.5,238,140,0,,53.2,40,250,74,43,20,1,0,138,0.581081081,0.74,0.43,0.2,0.01,0,23CR000944,0.552,0.41,0.195,0.157,0.213,10.1,4.64,0.869,0,1.08,0,1.9,4.12,0.145,0.143,145,1.36,2.31,8.61,182.051
BR09-003,,,,U,BAEA-BR09-2023-S-003,44.46005,-88.06965,5/19/23,2023,Brown Cty Fairgrounds,BROWN,BR-09,0709-05674,F,0,Y,3.76,45.1,34.2,29.1,213,140,0,,49.7,35,300,36,13,0,0,21,36,0.361111111,0.36,0.13,0,0,0.21,,,,,,,,,,,,,,,,,,,,,
BR11-001,0.2923,,,M,BAEA-BR11-2024-S-001,44.58858,-87.98116,5/17/24,2024,Long Tail Point,BROWN,BR-11a,0709-05696,F,4,Y,3.23,39.7,32.5,34.2,117,145,Empty,,36.3,,,,,,,,,,,,,,,,0,0.861,0.886,0.347,0.248,11.7,7.32,1.43,0,0.914,0,0.85,4.21,0.189,0.388,163,1.64,4.84,11.7,210.751
BR11-002,0.25145,0.09375,,M,BAEA-BR11-2024-S-002,44.58858,-87.98116,5/17/24,2024,Long Tail Point,BROWN,BR-11a,0709-05697,F,12,Y,3.45,40.4,33.2,30.5,179,142,Empty,,45,,,,,,,,,,,,,,,,1.15,0.952,1.22,0.492,0.234,13.6,8.08,1.61,0,1.4,0,1.37,4.79,0.304,0.686,183,1.93,5.31,14.5,240.868
BR12-001,0.17665,0.07425,,F,BAEA-BR12-2024-S-001,44.5808,-88.05135,5/17/24,2024,Highway 141,BROWN,BR-12,0709-05695,F,12,Y,3.99,41.7,35,31.9,142,157,4-Jan,,39.8,,,,,,,,,,,,,,,,1.53,0.315,1.57,0.497,0,7.64,3.24,1.28,0,1.09,0,0.62,3.16,0.099,0.248,108,1.07,2.32,6.75,139.716
BR12-001,0.462,0.19966667,N,F,BAEA-BR12-2023-M-001,44.5808,-88.05135,5/18/23,2023,Hwy 141,BROWN,BR-12,0709-05668,M,12,Y,3.63,41.5,33.3,31.4,182,130,0.5,,45.4,33,300,56,54,16,1,0,127,0.964285714,0.56,0.54,0.16,0.01,0,23CR000945,1.01,0.417,0.831,0.462,0,8.17,4.49,1.25,0,1.08,0,1.04,3.21,0.155,0.324,154,1.66,2.78,6.89,188.034
BR15-001,0.61595,0,,M,BAEA-BR15-2024-S-001,44.61539,-87.85461,5/16/24,2024,Red Banks,BROWN,BR-15,0709-05692,F,12,Y,3.3,41.4,31.7,28.8,153,144,4-Mar,,41.3,,,,,,,,,,,,,,,,0.934,0.693,1.36,0.468,0,12.9,6.83,1.47,0,0.674,0,0.253,2.01,0.211,0.129,154,1.37,3.47,14.3,201.13
BR15-002,,,,U,BAEA-BR15-2024-S-002,44.61539,-87.85461,5/16/24,2024,Red Banks,BROWN,BR-15,0709-05693,M,4,Y,3.76,42.3,33.3,30.5,133,137,4-Jan,,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR15-003,0.23925,0.07405,,M,BAEA-BR15-2024-S-003,44.61539,-87.85461,5/16/24,2024,Red Banks,BROWN,BR-15,0709-05694,M,12,Y,2.68,37.6,29.1,28.6,95,137,Empty,,33.2,,,,,,,,,,,,,,,,0.858,0.599,0.822,0.33,0.126,8.63,4.74,0.51,0,0.494,0,0.181,1.4,0.083,0.146,92.5,1.02,1.88,7.51,122.023
BR17-001,0.343,0,N,F,BAEA-BR17-2023-M-001,44.45081,-88.16042289,5/19/23,2023,Hwy MM,BROWN,BR-17,0709-05675,F,12,Y,4.92,49.5,36.9,33.5,258,150,0.25,,56,33,300,25,74,22,2,0,123,2.96,0.25,0.74,0.22,0.02,0,23CR000948,0.598,0.289,0,0.164,0.224,9.49,5.05,0.89,0,0.906,0,1.36,2.92,0.154,0.108,151,1.3,2.34,8.13,185.185
BR17-002,0.512,0.18533333,N,F,BAEA-BR17-2023-S-002,44.45081,-88.16042289,5/19/23,2023,Hwy MM,BROWN,BR-17,0709-05676,F,12,Y,4.66,50.4,37.8,33,263,140,0.25,,56.7,33,300,33,64,27,0,0,124,1.939393939,0.33,0.64,0.27,0,0,23CR000949,0.981,0.466,0.646,0.521,0,16.9,7.33,1.25,0,1.38,0,3.44,6.9,0.196,0.262,206,1.89,3.88,16.4,268.729
BR19-001,0.26645,0.02,,F,BAEA-BR19-2024-S-001,44.629607,-87.80131,5/16/24,2024,Bayshore,BROWN,BR-19,0709-05649,U,12,Y,4.11,45.1,34.5,35.6,,150,Empty,,,,,,,,,,,,,,,,,,1.3,0.757,1.56,0.675,0,13.8,8.28,0.974,0,0.912,0,0.7,3.45,0.112,0.153,149,1.81,4.44,12.4,200.51
BR19-002,0.2199,0,,F,BAEA-BR19-2024-S-002,44.629607,-87.80131,5/16/24,2024,Bayshore,BROWN,BR-19,0709-05650,U,,Y,4.15,45.9,37.6,32.1,,155,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY32-001,0.519,0.10833333,N,M,BAEA-BY32-2023-M-001,46.78803,-91.37576,6/12/23,2023,Port Wing East,BAYFIELD,BY-032d,0709-05623,F,12,Y,3.7,44.5,34.9,31.5,233,144,0,,52.5,50,200,96,36,15,0,0,147,0.375,0.96,0.36,0.15,0,0,23CR000963,0,0,0,0,0,30,6.45,0.696,0,1.08,0,1.16,75.4,0.114,1.92,125,1.65,10.6,42.4,296.47
BY52-001,,,,U,BAEA-BY52-2023-M-001,46.86569,-91.2168,6/12/23,2023,Bark Point,BAYFIELD,BY-052,0709-05626,F,0,Y,2.32,30.8,33.7,28.9,243,141,0,,53.9,80,125,14,6,1,0,1,22,0.428571429,0.14,0.06,0.01,0,0.01,,,,,,,,,,,,,,,,,,,,,
BY100-001,0.337,0.081,N,F,BAEA-BY100-2023-M-001,46.8195,-90.80685,6/14/23,2023,Dalrymple Park,BAYFIELD,BY-100a,0709-05636,F,12,Y,4.5,49.9,40.7,32.6,255,160,1,,55.6,40,250,65,70,18,1,0,154,1.076923077,0.65,0.7,0.18,0.01,0,23CR000969,0,0,0,0,0.093,29.6,5.85,0.679,0,0.98,0,0.875,75.3,0.104,1.65,128,1.98,11.2,36.9,293.211
BY100-002,0.378,0.073,N,F,BAEA-BY100-2023-S-001,46.8195,-90.80685,6/14/23,2023,Dalrymple Park,BAYFIELD,BY-100a,0709-05637,F,12,Y,3.86,47.1,37,30.5,245,157,0.75,,54.2,,,,,,,,,,,,,,,23CR000970,0,0,0,0,0.079,33.3,5.98,0.708,0,1.08,0,1.04,82.8,0.113,1.97,128,1.9,11.5,43.1,311.57
BY100-003,0.374,0.00866667,N,F,BAEA-BY100-2023-E-001,46.8195,-90.80685,6/14/23,2023,Dalrymple Park,BAYFIELD,BY-100a,0709-05638,F,12,Y,4.39,47.4,38,33.3,217,154,0,,50.3,,,,,,,,,,,,,,,23CR000971,0,0,0,0,0.073,26.5,6.23,0.503,0,0.958,0,0.806,60.7,0.098,0.926,107,1.77,12.9,36.2,254.664
BY30-001,0.47925,0.09005,,M,BAEA-BY30-2024-S-001,46.86643,-91.09493,6/12/24,2024,Cornucopia,BAYFIELD,BY-30,0829-04162,F,12,Y,2.92,41.4,34.2,29.7,177,152,0,,44.7,,,,,,,,,,,,,,,,0,0.071,0,0,0.115,35.6,9.75,1.24,0.051,1.17,0,1.2,80.3,0.174,1.18,138,2.15,23.1,52.3,346.457
BY30-002,0.4269,0.039,,M,BAEA-BY30-2024-S-002,46.86643,-91.09493,6/12/24,2024,Cornucopia,BAYFIELD,BY-30,0829-04163,F,12,Y,2.59,42.6,33.8,29.3,142,152,0,,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY47-001-002,0.2349,0,,F,BAEA-BY47-2024-M-002,46.882701,-91.07783,6/10/24,2024,Spirit Bay,BAYFIELD,BY-47a,0709-05687,F,12,Y,4.61,48.2,36.9,33.4,205,154,0,,48.6,,,,,,,,,,,,,,,,0,0.131,0,0,0.098,54.7,15.6,0.922,0,1.57,0,1.58,145,0.133,1.98,179,2.51,22.6,76.1,501.924
BY47-001,0.211,0.15333333,N,F,BAEA-BY47-2023-M-001,46.88074,-91.08982,6/13/23,2023,Spirit Point Road,BAYFIELD,BY-47b,0709-05629,F,12,Y,4.11,46.4,37.5,33.6,228,152,0.25,,51.8,33,300,26,64,7,4,18,119,2.461538462,0.26,0.64,0.07,0.04,0.18,23CR000964,0,0,0,0,0.148,27.4,5.81,0.629,0.035,1.02,0,0.888,74,0.09,1.72,120,1.82,11.1,38,282.66
BY48-001,0.37955,0.0296,,F,BAEA-BY48-2024-M-001,46.696978,-90.852728,6/10/24,2024,Houghton Point,BAYFIELD,BY-48a,0709-05688,F,12,Y,4.93,46.7,37.2,34.6,235,142,Full,,52.8,,,,,,,,,,,,,,,,0,0.066,0,0,0.115,13.9,4.33,0.7,0,0.943,0,0.668,29.8,0.072,0.275,74.5,1.12,10.4,18.6,155.489
BY94-001,0.418,0.08433333,N,F,BAEA-BY94-2023-L-001,46.86861,-90.7735,6/14/23,2023,Red Cliff (N),BAYFIELD,BY-94,0709-05619,F,12,Y,4.43,50,27.1,34.3,226,143,0,,51.5,,,,,,,,,,,,,,,23CR000965,0,0,0,0,0.068,17,3.96,0.575,0,0.938,0,0.712,49.7,0.088,0.325,107,1.09,7.1,23.7,212.256
BY94-002,0.39,0.04966667,N,F,BAEA-BY94-2023-L-002,46.86861,-90.7735,6/14/23,2023,Red Cliff (N),BAYFIELD,BY-94,0709-05620,M,12,Y,3.61,46.8,34.3,31.2,247,130,0,,54.5,30,300,42,19,0,2,,63,0.452380952,0.42,0.19,0,0.02,0,23CR000966,0,0,0,0,0.173,19.2,4,0.796,0,1.04,0,0.831,42,0.106,0.197,161,1.42,7.67,27.2,265.633
BY97-001,0.528,0.18233333,N,M,BAEA-BY97-2023-S-001,46.76004,-90.87802,6/13/23,2023,Mt. Ashwabay,BAYFIELD,BY-97,0709-05627,F,12,Y,4.17,56.1,35.4,37.3,235,142,1,,52.8,50,200,59,22,3,1,1,86,0.372881356,0.59,0.22,0.03,0.01,0.01,23CR000967,0,0,0,0,0,5.83,1.81,0.751,0,0.697,0,0.451,14.4,0.072,0.249,60.2,0.719,4.05,6.74,95.969
BY97-002,0.36,0.127,N,F,BAEA-BY97-2023-E-002,46.76004,-90.87802,6/13/23,2023,Mt. Ashwabay,BAYFIELD,BY-97,0709-05628,F,12,Y,4.87,49.2,37.6,37.9,207,157,0.75,,48.9,,,,,,,,,,,,,,,23CR000968,0,0,0,0,0.112,4.81,1.52,0.74,0,0.483,0,0.327,9.72,0.064,0.198,42.5,0.649,3.26,5.66,70.043
BY100-001,0.21915,0.07645,,F,BAEA-BY100-2024-M-001,46.8195,-90.80685,6/10/24,2024,Dalrymple Park,BAYFIELD,BY100a,0709-05689,F,12,Y,5.2,48.7,38.7,33.2,234,151,2-Jan,,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY100-002,0.26455,0.085,,F,BAEA-BY100-2024-M-002,46.8195,-90.80685,6/10/24,2024,Dalrymple Park,BAYFIELD,BY100a,0709-05690,M,12,Y,4.01,46.5,35.3,31.1,240,130,4-Jan,,53.5,,,,,,,,,,,,,,,,0,0.076,0,0,0.066,15.4,5.53,0.358,0,1.2,0,0.992,54.3,0.018,0.927,96.9,1.27,9.75,24,210.787
DO05-001,0.2236,0.0568,,M,BAEA-DO05-2024-L-001,44.86636,-87.23624,5/14/24,2024,Dunes Lake,DOOR,DO-05,0709-05635,M,12,Y,3.36,41.4,32.7,27.6,155,134,Full,,41.6,,,,,,,,,,,,,,,,0,0,0,0,0,29.3,11.2,0.971,0,1.7,0,1.05,23.2,0.118,0.481,256,2.22,17.9,24.3,368.44
DO05-002,0.65315,0.00265,,F,BAEA-DO05-2024-L-002,44.86636,-87.23624,5/14/24,2024,Dunes Lake,DOOR,DO-05,0709-05679,F,12,Y,4.23,48.3,36.4,31.1,195,143,4-Jan,,47.2,,,,,,,,,,,,,,,,0,0,0,0,0,28.3,6.84,0.901,0,1.92,0,1.46,27.3,0.096,0.66,244,1.62,10.8,26.3,350.197
BR10-001,,,,U,BAEA-BR10-2024-S-001,45.410761,-86.812701,6/4/24,2024,Rock Island,DOOR,DO-10a,0709-05698,M,9,Y,4.18,36.1,35.7,32.1,290,139,Full,,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR10-002,,,,U,BAEA-BR10-2024-S-002,45.410761,-86.812701,6/4/24,2024,Rock Island,DOOR,DO-10a,0709-05699,F,12,Y,3.86,46.7,36.1,35.5,281,145,Full,,59.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DO16-001,0.19185,0.00895,,F,BAEA-DO16-2024-L-001,45.41288,-86.87653,5/16/24,2024,Ulm,DOOR,DO-16a,0709-05684,F,12,Y,3.72,38.3,31.1,30.7,100,145,4-Mar,,33.9,,,,,,,,,,,,,,,,0.16,0.677,0,0,0,12.6,5.14,0.654,0,1.14,0,2.27,7.37,0.088,0.178,187,1.14,5.58,14.4,238.397
DO16-002,0.66375,0.06235,,F,BAEA-DO16-2024-L-002,45.41288,-86.87653,5/16/24,2024,Ulm,DOOR,DO-16a,0709-05685,F,12,Y,3.99,41.6,31.7,31.9,129,145,2-Jan,,38,,,,,,,,,,,,,,,,0.192,0.656,0,0,0,14.6,5.33,1.11,0,1.37,0,2.45,7.82,0.126,0.189,195,1.32,6.49,18.4,255.053
DO16-003,0.39465,0.05975,,M,BAEA-DO16-2024-L-003,45.41288,-86.87653,5/16/24,2024,Ulm,DOOR,DO-16a,0709-05686,M,8,Y,3,35.5,28,27,80,133,4-Jan,,31.1,,,,,,,,,,,,,,,,0.139,0.759,0,0,0,12.4,4.88,0.904,0,1.01,0,2.16,6.27,0.101,0.093,154,0.94,7.06,13.7,204.416
DO18-001,0.2206,0.04545,,M,BAEA-DO18-2024-L-001,44.95188,-87.20525,5/15/24,2024,Clark Lake,DOOR,DO-18,0709-05682,M,12,Y,3.91,43.8,32.7,31.4,226,136,Empty,,51.5,,,,,,,,,,,,,,,,0,0.114,0,0,0,21.4,6.31,1.16,0,1.44,0,1.04,17.1,0.104,1.27,236,1.37,11.7,14.5,313.508
DO18-002,0.4032,0.05465,,M,BAEA-DO18-2024-L-002,44.95188,-87.20525,5/15/24,2024,Clark Lake,DOOR,DO-18,0709-05683,M,12,Y,2.92,40.5,31.4,27.8,189,130,Empty,Deformed toes - fused talons,46.4,,,,,,,,,,,,,,,,0,0,0,0,0,12.5,3.57,0.673,0,0.888,0,0.712,10.3,0.059,0.484,148,0.891,6.58,9.59,194.247
DO29-001,0.1674,0.04465,,F,BAEA-DO29-2024-L-001,44.82884,-87.6005,5/15/24,2024,Lime Kiln Road,DOOR,DO-29a,0709-05680,M,8,Y,3.56,37.7,30.5,29.5,87,135,Empty,,32.1,,,,,,,,,,,,,,,,0.589,0.95,0.958,0.384,0,10.4,5.93,0.77,0,0.888,0,0.728,3.06,0.107,0.116,136,1.48,5.02,9.24,176.62
DO29-002,0.2468,0.09325,,F,BAEA-DO29-2024-L-002,44.82884,-87.6005,5/15/24,2024,Lime Kiln Road,DOOR,DO-29a,0709-05681,M,12,Y,4.04,43.5,31.9,31.8,130,139,Empty,,38.1,,,,,,,,,,,,,,,,0.609,0.884,0.696,0.349,0,11.5,6.49,0.975,0,1.06,0,1,3.55,0.115,0.172,135,1.55,5.54,9.53,179.02
DU58-001,0.30065,0.0793,,F,BAEA-DU58-2024-S-001,46.70998,-91.73818,6/10/24,2024,Barden Creek East,DOUGLAS,DU-58a,0829-04155,F,12,Y,3.9,43.1,33.6,33.6,260,153,0,,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DU58-002,0.21925,0,,F,BAEA-DU58-2024-S-002,46.70998,-91.73818,6/10/24,2024,Barden Creek East,DOUGLAS,DU-58a,0829-04161,F,12,Y,4.03,48.8,34.4,33.1,282,150,0,Fishing lure removed from left leg,59.4,,,,,,,,,,,,,,,,0,0.112,0,0,0,37.6,10,2.16,0,1.6,0,1.33,92.9,0.176,0.383,153,2.47,22.2,55.9,379.846
DU58-001,0.314,0.02233333,N,F,BAEA-DU58-2023-S-001,46.70998,-91.73818,6/12/23,2023,Barden Creek East,DOUGLAS,DU-58a,0709-05624,F,12,Y,4.81,47.5,36.5,32.9,220,164,0.5,,50.7,45,225,36,66,4,1,7,114,1.833333333,0.36,0.66,0.04,0.01,0.07,23CR000972,0,0,0,0,0.077,32.4,6.88,0.933,0,0.897,0,0.926,71.4,0.108,0.668,123,2.15,12.1,40.9,292.439
DU58-002,0.331,0.01166667,N,F,BAEA-DU58-2023-M-002,46.70998,-91.73818,6/12/23,2023,Barden Creek East,DOUGLAS,DU-58a,0709-05625,F,12,Y,5.53,49.5,36.4,35.2,304,162,0.5,,62.5,50,200,50,27,3,1,0,81,0.54,0.5,0.27,0.03,0.01,0,23CR000973,0,0.136,0,0,0.102,47.8,8.92,1.35,0,1.63,0,1.25,120,0.171,0.799,183,2.88,17.5,62.9,448.438
DU81-001,0.33755,0.0044,,F,BAEA-DU81-2024-S-001,46.74523,-92.10049,6/10/24,2024,Connors Point,DOUGLAS,DU-81,0829-04152,F,12,Y,5.06,51.7,39.5,34.2,307,151,0,,62.9,,,,,,,,,,,,,,,,0.116,0.065,0,0,0.853,13.1,4.02,2.42,0.056,2.53,0,6.37,29.6,0.164,0.364,155,1.7,6.2,15,237.558
DU81-002,0.26805,0.03615,,F,BAEA-DU81-2024-S-002,46.74523,-92.10049,6/10/24,2024,Connors Point,DOUGLAS,DU-81,0829-04153,F,6,Y,4.88,52.7,41.8,35.1,310,152,0,,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DU81-003,,,,U,BAEA-DU81-2024-S-003,46.74523,-92.10049,6/10/24,2024,Connors Point,DOUGLAS,DU-81,0829-04154,F,0,Y,3.74,48.4,36.4,33,302,140,0,,62.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KE02-001,0.19745,0.05605,,F,BAEA-KE02-2024-L-001,44.65755,-87.4621,5/14/24,2024,Ahnapee River,KEWAUNEE,KE-02,0709-05634,F,12,Y,4.38,43.7,35.3,32.1,162,142,Full,,42.6,,,,,,,,,,,,,,,,0,0,0,0,0.123,8.25,2.43,0.224,0,1.14,0,0.778,8.29,0,0.656,116,0.627,2.33,5.08,145.928
KE08-001,0.4998,0.04455,,M,BAEA-KE08-2024-S-001,44.5944,-87.45978,5/14/24,2024,Evergreen Dr,KEWAUNEE,KE-08,0709-05644,F,8,Y,2.82,38.1,27.6,27.9,92,143,Full,,32.8,,,,,,,,,,,,,,,,0,0,0,0,0.216,8.6,2.37,0.804,0,1.87,0,0.88,7.79,0.087,0.553,168,0.738,5.18,6.22,203.308
KE08-002,,,,F,BAEA-KE08-2024-S-002,44.5944,-87.45978,5/14/24,2024,Evergreen Dr,KEWAUNEE,KE-08,0709-05646,U,4,Y,2.7,36.9,26.9,26.7,74,139,Full,,30.3,,,,,,,,,,,,,,,,0,0,0,0,0.2,8.92,2.45,0.412,0,1.74,0,0.882,8.25,0,0.442,180,0.746,2.81,6.05,212.902
MC03-001,,,,U,BAEA-MC03-2024-S-001,44.1795,-87.58633,5/13/24,2024,Two Rivers,MANITOWOC,MC-03b,0709-05641,F,0,Y,3.85,42.6,37.7,30.2,218,149,Full,,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC03-002,0.23415,0.0524,,F,BAEA-MC03-2024-S-002,44.1795,-87.58633,5/13/24,2024,Two Rivers,MANITOWOC,MC-03b,0709-05642,F,12,Y,4.94,47.6,37.1,35,207,147,Full,,48.9,,,,,,,,,,,,,,,,0,0,0,0,0,11.9,3.69,1.15,0,1.39,0,1.44,8.73,0.073,0.243,179,1.17,7.96,8.95,225.696
MC06-001,,0.0987,,F,BAEA-MC06-2024-L-001,44.289,-87.53989,5/13/24,2024,Point Beach Power,MANITOWOC,MC-06,0709-05632,F,12,Y,5.18,48.3,37.7,33.9,240,145,4-Jan,,53.5,,,,,,,,,,,,,,,,0,0.215,0,0,0,21.8,5.27,0.721,0,2.19,0,1.44,12.9,0.094,0.539,235,1.71,7.25,15.1,304.229
MC06-002,0.4935,0.09285,,U,BAEA-MC06-2024-L-002,44.289,-87.53989,5/13/24,2024,Point Beach Power,MANITOWOC,MC-06,0709-05633,M,12,Y,4.09,42.3,35.2,30.4,220,134,4-Jan,,50.7,,,,,,,,,,,,,,,,0,0.197,0,0,0,21.4,5.3,1.03,0,2.15,0,1.95,16.9,0.102,0.714,200,1.64,8.63,17.5,277.513
MC14-001,0.2039,0.0031,,M,BAEA-MC14-2024-L-001,44.09149,-87.71203,5/13/24,2024,South Rapids Road,MANITOWOC,MC-14,0709-05630,M,9,Y,3.97,42.7,36.9,30.5,233,135,Empty,,52.5,,,,,,,,,,,,,,,,0,0,0,0,0.09,6.99,2.91,1.44,0,1.75,0,1.8,7.79,0.063,0.847,144,1.41,4.75,5.68,179.52
MC14-002,0.2687,0.08835,,M,BAEA-MC14-2024-L-002,44.09149,-87.71203,5/13/24,2024,South Rapids Road,MANITOWOC,MC-14,0709-05631,M,12,Y,3.42,40.6,32.6,29.1,204,131,4-Jan,,48.5,,,,,,,,,,,,,,,,0,0,0,0,0.143,6.52,2.98,0.958,0,1.47,0,1.69,8.01,0.069,1.49,128,1.47,3.63,5.58,162.01
MC17-001-002,0.19565,0.07775,,M,BAEA-MC17-2024-S-001,44.145717,-87.683452,5/14/24,2024,Airport North,MANITOWOC,MC-17,0709-05643,F,12,Y,3.29,39.6,30,28.5,135,140,2-Jan,,38.8,,,,,,,,,,,,,,,,0,0,0,0,0,9.1,2.11,0.761,0,1.09,0,0.917,8.62,0.044,0.699,132,0.714,4.95,6.32,167.325
OU06-001,0.61,0.13133333,N,M,BAEA-OU06-2023-M-001,44.27374,-88.36438,5/18/23,2023,Potato Point Road,OUTAGAMIE,OU-06a,0709-05666,M,12,Y,2.69,36.4,29.2,27.2,111,128,0.5,,35.4,20,500,19,128,5,1,13,166,6.736842105,0.19,1.28,0.05,0.01,0.13,23CR000947,0,0,0.321,0,0,4.68,1.17,0.6,0,0.698,0,0.488,3.46,0.102,0.083,123,0.355,0.975,3.15,139.082
OU13-001,0.951,0.118,N,M,BAEA-OU13-2023-S-001,44.28427,-88.33238,5/18/23,2023,Hwy OO,OUTAGAMIE,OU-13a,0709-05667,M,12,Y,3.31,42.5,33.2,28.3,172,132,0.75,,44,20,500,30,120,20,3,0,173,4,0.3,1.2,0.2,0.03,0,23CR000946,0.163,0,0,0,0.178,5.43,1.95,1.08,0,1.28,0,1.34,4.14,0.136,0.215,166,0.803,1.58,3.8,188.247
SB7-001,,,,M,BAEA-SB7-2024-S-001,43.56843,-87.78925,5/13/24,2024,Amsterdam Cemetary,SHEBOYGAN,SB-07,0709-05639,U,4,Y,3.43,41,31.4,29.4,142,140,4-Jan,,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB7-002,0.25095,0.0722,,M,BAEA-SB7-2024-S-002,43.56843,-87.78925,5/13/24,2024,Amsterdam Cemetary,SHEBOYGAN,SB-07,0709-05640,F,12,Y,3.48,42.1,32.3,30.8,185,143,4-Jan,,45.8,,,,,,,,,,,,,,,,0,0.088,0,0,0,6.64,1.95,0.982,0,1.21,0,1.42,5.95,0.068,0.602,231,0.607,3.8,5.2,259.517
WI09-001,0.839,0.001,N,F,BAEA-WI09-2023-M-001,44.19897,-88.47475,5/17/23,2023,Kimberly Clark,WINNEBAGO,WI-09,0709-05662,F,12,Y,4.55,47.6,37.9,32.6,265,144,0,,57,13,750,21,69,46,6,2,144,3.285714286,0.21,0.69,0.46,0.06,0.02,23CR000954,0,0.077,0.81,0,0,8.76,1.79,0.829,0,0.739,0,1.29,9.39,0.093,0.243,118,0.616,1.76,6.82,151.217
WI09-002,0.965,0.11733333,N,M,BAEA-WI09-2023-S-002,44.19897,-88.47475,5/17/23,2023,Kimberly Clark,WINNEBAGO,WI-09,0709-05663,F,12,Y,4.79,50.5,39.5,33.5,276,147,0,,58.5,20,500,42,123,62,0,1,228,2.928571429,0.42,1.23,0.62,0,0.01,23CR000955,0,0.08,0.704,0,0,8.84,2.76,0.948,0,1.01,0,1.4,8.5,0.08,0.156,118,1.06,1.95,6.14,151.715
WI10-001,0.746,0.164,N,M,BAEA-WI10-2023-M-001,44.23174,88.46293,5/17/23,2023,Menasha Treatment,WINNEBAGO,WI-10a,0709-05664,M,12,Y,4.09,43.9,36,32.1,262,137,0,,56.6,15,650,52,62,44,2,8,168,1.192307692,0.52,0.62,0.44,0.02,0.08,23CR000951,0,0.138,0.606,0,0,8.3,1.57,0.645,0,0.27,0,0.356,2.03,0.067,0,109,0.383,1.28,5.24,129.969
WI10-002,0.538,0.15266667,N,F,BAEA-WI10-2023-S-002,44.23174,88.46293,5/17/23,2023,Menasha Treatment,WINNEBAGO,WI-10a,0709-05665,M,12,Y,3.86,42.5,36,30.7,241,137,0,,53.6,25,400,64,105,24,17,2,212,1.640625,0.64,1.05,0.24,0.17,0.02,23CR000950,0,0.138,0.44,0,0,9.69,1.93,0.832,0,0.45,0,0.706,3.85,0.091,0.031,123,0.433,1.5,6.08,149.272
