bird_id,igy,clysis,PCR_avmal,DNA_sex,field_id,lat,long,date,year,nest_name,county,nest_no,fws,field_sex,blood_vol,feathers,weight_kg,culman_mm,hallux_mm,bill_mm,primary_mm,foot_mm,Crop,Notes,age,FOV,RBC_per_FOV,L,H,E,M,B,Total_count,H_L,Lperc,Hperc,Eperc,Mperc,Bperc,wslh_specimen_id,FTSA8_2,FOSA,N_ETFOSAA,N_MEFOSAA,PFBA,PFDA,PFDOA,PFDS,PFHPA,PFHPS,PFHXA,PFHXS,PFNA,PFNS,PFOA,PFOS,PFTEDA,PFTRDA,PFUNDA,TOTAL_PFAS
SK02-001,0.15125,1,,M,BAEA-SK02-2025-L-001,43.19208337,-90.01183334,5/10/25,2025,Spring Green 2,Sauk,SK-02,0829-04189,M,12,Y,3.2,42.6,31.1,27.8,154,132,0,,41.46,50,200,113,190,33,5,4,345,1.681415929,0.327536232,0.550724638,0.095652174,0.014492754,0.011594203,,1.409,1.977,0.97,0.17,0.08,6.547,4.331,2.362,0,0.723,0.033,0.287,2.51,0,0.239,196.81,1.199,2.439,5.708,228.603
SK02-002,,,,M,BAEA-SK02-2025-L-002,43.19208337,-90.01183334,5/10/25,2025,Spring Green 2,Sauk,SK-02,0829-04190,M,12,Y,2.72,38,30.6,27.9,99,129,0,,33.76,43,350,66,61,15,1,0,143,0.924242424,0.461538462,0.426573427,0.104895105,0.006993007,0,,1.37,1.57,0.525,0,0.072,5.024,3.146,2.087,0,0.524,0,0.309,1.91,0,0.244,152.18,0.836,1.85,4.435,176.956
AD13-001,0.1191,1,,M,BAEA-AD13-2025-L-001,44.06089,-89.98749,5/11/25,2025,Petenwell Dam East,Adams,AD-13a,0829-04191,M,12,Y,2.98,37.4,29.3,25.3,79,127,4-Jan,,30.96,55,,90,129,39,0,0,258,1.433333333,0.348837209,0.5,0.151162791,0,0,,6.406,4.562,5.624,0.49,0.167,10.087,6.91,1.194,0,2.434,0.02,0.536,4.02,0.372,0.416,355.83,2.687,5.108,7.998,423.99
AD13-002,0.15105,0.368623173,,M,BAEA-AD13-2025-L-002,44.06089,-89.98749,5/11/25,2025,Petenwell Dam East,Adams,AD-13a,0829-04192,M,10,Y,2.47,35.9,25.9,26.4,47,116,Full,,26.48,50,200,41,55,25,1,3,125,1.341463415,0.328,0.44,0.2,0.008,0.024,,8.377,6.913,6.611,0.818,0.165,13.701,9.025,1.865,0,3.694,0.021,0.752,5.147,0.557,0.459,502.62,3.745,6.674,10.504,594.044
AD13-003,0.12555,1,,M,BAEA-AD13-2025-L-003,44.06089,-89.98749,5/11/25,2025,Petenwell Dam East,Adams,AD-13a,0829-04193,M,12,Y,2.89,39.1,29.3,27.4,89,124,2-Jan,,32.36,42,240,49,71,18,1,1,140,1.448979592,0.35,0.507142857,0.128571429,0.007142857,0.007142857,,9.535,6.776,5.782,0.726,0.169,14.037,8.79,1.495,0,3.614,0.026,0.744,5.679,0.564,0.71,476.76,3.613,6.208,10.715,564.685
WO07-001,0.142033333,1,,F,BAEA-WO07-2025-L-001,44.33298,-89.87415,5/12/25,2025,Weber Slough,Wood,WO-07b,0829-04194,F,12,Y,3.66,39.9,31.2,29.8,125,145,0,,37.4,50,200,50,30,20,4,2,106,0.6,0.471698113,0.283018868,0.188679245,0.037735849,0.018867925,,8.651,4.692,1.86,0,0.092,13.434,9.794,1.225,0,1.565,0.022,0.3,3.685,0.634,0.395,416.8,2.382,4.657,11.498,485.438
WO07-002,0.17495,0.316193643,,F,BAEA-WO07-2025-L-002,44.33298,-89.87415,5/12/25,2025,Weber Slough,Wood,WO-07b,0829-04195,M,12,Y,3.15,38.3,31.1,28.4,98,139,0,,33.62,50,200,40,51,35,5,0,131,1.275,0.305343511,0.389312977,0.267175573,0.038167939,0,,8.177,4.401,1.667,0,0.101,11.754,9.019,1.116,0,1.461,0.025,0.259,2.847,0.491,0.29,405.31,2.056,4.1,10.399,466.487
MR25-001,0.1651,0.947205626,,M,BAEA-MR25-2025-L-001,44.73766,-89.78747,5/13/25,2025,Highway O,Marathon,MR-25,0829-04198,M,12,Y,3.36,44.2,32.1,31.9,212,130,4-Jan,,49.58,50,200,54,53,14,0,3,124,0.981481481,0.435483871,0.427419355,0.112903226,0,0.024193548,,0.168,0.22,0,0,0.05,9.759,2.624,0.745,0,0.901,0.023,0.276,15.469,0,0,121.63,0.867,4.088,9.829,166.701
MR25-002,,,,F,BAEA-MR25-2025-L-002,44.73766,-89.78747,5/13/25,2025,Highway O,Marathon,MR-25,0829-04199,F,12,Y,4.49,49.1,36.8,34.4,195,148,2-Jan,,47.2,50,200,66,45,14,0,3,128,0.681818182,0.515625,0.3515625,0.109375,0,0.0234375,,0,0.207,0,0,0.058,6.746,1.878,0.696,0,0.677,0.022,0.222,10.064,0,0,94.702,0.736,3.098,7.241,126.368
LI30-001,0.1566,0.865174401,,F,BAEA-LI30-2025-E-001,45.3186641,-89.78109375,5/14/25,2025,WI River - Fau Fau Rd,Lincoln,LI-30a,0829-04139,M,5,N,2.59,38.2,27.3,28,65,137,2-Jan,,29,50,200,73,69,38,0,4,184,0.945205479,0.39673913,0.375,0.206521739,0,0.02173913,,10.534,8.947,3.579,0,0.128,4.462,10.397,,0,1.116,0,0.28,2.629,0,1.923,203.36,3.271,5.437,5.992,267.498
