bird_id,igy,clysis,PCR_avmal,DNA_sex,field_id,lat,long,date,year,nest_name,county,nest_no,fws,field_sex,blood_vol,feathers,weight_kg,culman_mm,hallux_mm,bill_mm,primary_mm,foot_mm,Crop,Notes,age,FOV,RBC_per_FOV,L,H,E,M,B,Total_count,H_L,Lperc,Hperc,Eperc,Mperc,Bperc,wslh_specimen_id,FTSA10_2,PF3OUDS11CL,FTSA4_2,DIPAP6_2,FTSA6_2,DIPAP8_2,FTSA8_2,CL_9PF3ONS,DONA,FOSA,N_ETFOSA,N_ETFOSAA,N_ETFOSE,N_MEFOSA,N_MEFOSAA,N_MEFOSE,PFBA,PFBS,PFDA,PFDOA,PFDS,PFHPA,PFHPS,PFHXA,PFHXDA,PFHXS,PFMBA,PFMPA,PFNA,PFNS,PFOA,PFODA,PFOS,PFPEA,PFPES,PFTEDA,PFTRDA,PFUNDA,PFEESA,PFDoS,ADONA,HFPO-DA,NFDHA,3:3FTCA,5:3FTCA,6:2FTS,7:3FTCA,TOTAL_PFAS,PCA_score,Q_residual
BR09-002,0.567,0.139,N,,BAEA-BR09-2023-S-002,44.46005,-88.06965,5/19/23,2023,Brown Cty Fairgrounds,BROWN,BR-09,0709-05673,F,12,Y,3.53,44.7,36,30.5,238,140,0,,53.2,40,250,74,43,20,1,0,138,0.581081081,0.74,0.43,0.2,0.01,0,23CR000944,0.247,0,0,0,0,0,0.552,0,0,0.41,0,0.195,0,0,0.157,0,0.213,0,10.1,4.64,0.869,0,1.08,0,0,1.9,0,0,4.12,0.145,0.143,0,145,0,0,1.36,2.31,8.61,,,,,,,,,,182.051,0.985566072,4.514422488
BR09-003,,,,,BAEA-BR09-2023-S-003,44.46005,-88.06965,5/19/23,2023,Brown Cty Fairgrounds,BROWN,BR-09,0709-05674,F,0,Y,3.76,45.1,34.2,29.1,213,140,0,,49.7,35,300,36,13,0,0,21,36,0.361111111,0.36,0.13,0,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR11-001,0.2923,,,M,BAEA-BR11-2024-S-001,44.58858,-87.98116,5/17/24,2024,Long Tail Point,BROWN,BR-11a,0709-05696,F,4,Y,3.23,39.7,32.5,34.2,117,145,Empty,,36.3,,,,,,,,,,,,,,,,0.228,0,0,0,0,0,0,0,0,0.861,0,0.886,0,0,0.347,0,0.248,0,11.7,7.32,1.43,0,0.914,0,0,0.85,0,0,4.21,0.189,0.388,0,163,0,0,1.64,4.84,11.7,,,,,,,,,,210.751,0.439523974,5.493868419
BR11-002,0.25145,0.09375,,M,BAEA-BR11-2024-S-002,44.58858,-87.98116,5/17/24,2024,Long Tail Point,BROWN,BR-11a,0709-05697,F,12,Y,3.45,40.4,33.2,30.5,179,142,Empty,,45,,,,,,,,,,,,,,,,0.24,0,0,0,0,0,1.15,0,0,0.952,0,1.22,0,0,0.492,0,0.234,0,13.6,8.08,1.61,0,1.4,0,0,1.37,0,0,4.79,0.304,0.686,0,183,0,0,1.93,5.31,14.5,,,,,,,,,,240.868,0.891671936,7.779089383
BR12-001,0.17665,0.07425,,F,BAEA-BR12-2024-S-001,44.5808,-88.05135,5/17/24,2024,Highway 141,BROWN,BR-12,0709-05695,F,12,Y,3.99,41.7,35,31.9,142,157,4-Jan,,39.8,,,,,,,,,,,,,,,,0.197,0,0,0,0,0,1.53,0,0,0.315,0,1.57,0.09,0,0.497,0,0,0,7.64,3.24,1.28,0,1.09,0,0,0.62,0,0,3.16,0.099,0.248,0,108,0,0,1.07,2.32,6.75,,,,,,,,,,139.716,1.706277959,5.38946049
BR12-001,0.462,0.19966667,N,,BAEA-BR12-2023-M-001,44.5808,-88.05135,5/18/23,2023,Hwy 141,BROWN,BR-12,0709-05668,M,12,Y,3.63,41.5,33.3,31.4,182,130,0.5,,45.4,33,300,56,54,16,1,0,127,0.964285714,0.56,0.54,0.16,0.01,0,23CR000945,0.265,0,0,0,0,0,1.01,0,0,0.417,0,0.831,0,0,0.462,0,0,0,8.17,4.49,1.25,0,1.08,0,0,1.04,0,0,3.21,0.155,0.324,0,154,0,0,1.66,2.78,6.89,,,,,,,,,,188.034,1.706277959,5.38946049
BR15-001,0.61595,0,,M,BAEA-BR15-2024-S-001,44.61539,-87.85461,5/16/24,2024,Red Banks,BROWN,BR-15,0709-05692,F,12,Y,3.3,41.4,31.7,28.8,153,144,4-Mar,,41.3,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.934,0,0,0.693,0,1.36,0.058,0,0.468,0,0,0,12.9,6.83,1.47,0,0.674,0,0,0.253,0,0,2.01,0.211,0.129,0,154,0,0,1.37,3.47,14.3,,,,,,,,,,201.13,1.079717759,5.904040787
BR15-002,,,,,BAEA-BR15-2024-S-002,44.61539,-87.85461,5/16/24,2024,Red Banks,BROWN,BR-15,0709-05693,M,4,Y,3.76,42.3,33.3,30.5,133,137,4-Jan,,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR15-003,0.23925,0.07405,,M,BAEA-BR15-2024-S-003,44.61539,-87.85461,5/16/24,2024,Red Banks,BROWN,BR-15,0709-05694,M,12,Y,2.68,37.6,29.1,28.6,95,137,Empty,,33.2,,,,,,,,,,,,,,,,0.194,0,0,0,0,0,0.858,0,0,0.599,0,0.822,0,0,0.33,0,0.126,0,8.63,4.74,0.51,0,0.494,0,0,0.181,0,0,1.4,0.083,0.146,0,92.5,0,0,1.02,1.88,7.51,,,,,,,,,,122.023,1.71296024,3.869960481
BR17-001,0.343,0,N,F,BAEA-BR17-2023-M-001,44.45081,-88.16042289,5/19/23,2023,Hwy MM,BROWN,BR-17,0709-05675,F,12,Y,4.92,49.5,36.9,33.5,258,150,0.25,,56,33,300,25,74,22,2,0,123,2.96,0.25,0.74,0.22,0.02,0,23CR000948,0.262,0,0,0,0,0,0.598,0,0,0.289,0,0,0,0,0.164,0,0.224,0,9.49,5.05,0.89,0,0.906,0,0,1.36,0,0,2.92,0.154,0.108,0,151,0,0,1.3,2.34,8.13,,,,,,,,,,185.185,1.059550256,3.640244941
