"effect","group","term","estimate","std.error","statistic","df","p.value","pfas_var","immune_var","n_obs","FDR_p"
"fixed",NA,"PFAS_scaled",-0.0152704513451939,0.273820647122504,-0.0557680785056435,103.601543717055,0.955633974112392,"PFBA","Clysis",111,0.955633974112392
"fixed",NA,"PFAS_scaled",0.531469837781042,0.543665025421355,0.977568563232733,105.565222887865,0.33052268829548,"PFBS","Clysis",111,0.594940838931863
"fixed",NA,"PFAS_scaled",-1.32480566654642,0.278006676511823,-4.76537356285427,65.4640513177464,1.08795633042864e-05,"PFDA","Clysis",111,6.99252745891359e-05
"fixed",NA,"PFAS_scaled",-0.53580876329141,0.285282425634385,-1.87816954409276,81.8127638414485,0.0639205096090373,"PFDOA","Clysis",111,0.164367024708953
"fixed",NA,"PFAS_scaled",0.0779437050624179,0.276764286993497,0.281624865365124,108.607401410932,0.778767066886228,"PFDS","Clysis",110,0.876112950247006
"fixed",NA,"PFAS_scaled",-0.448679464300977,0.276469912718812,-1.62288713404165,66.2955249987634,0.109359727945073,"PFHPA","Clysis",111,0.220433668666389
"fixed",NA,"PFAS_scaled",-0.0413121827404445,0.293299776751758,-0.140853099848795,63.7637555706445,0.888430027252416,"PFHPS","Clysis",111,0.940690617090794
"fixed",NA,"PFAS_scaled",1.24411173596349,0.262355598715216,4.74208189974236,89.2753270551153,7.96599926021064e-06,"PFHXA","Clysis",111,6.99252745891359e-05
"fixed",NA,"PFAS_scaled",-0.812098387463159,0.279393516730588,-2.90664721560538,79.6956659743354,0.00472888954026084,"PFHXS","Clysis",111,0.0141866686207825
"fixed",NA,"PFAS_scaled",-1.21822576850976,0.282991462886771,-4.30481455547367,65.0225226869724,5.75171312279441e-05,"PFNA","Clysis",111,0.000207061672420599
"fixed",NA,"PFAS_scaled",0.112462141544309,0.281484757956281,0.399531904891901,94.6841478834668,0.690401126902488,"PFNS","Clysis",111,0.828481352282985
"fixed",NA,"PFAS_scaled",-0.225918029480997,0.278785147712097,-0.810366087774172,75.5423354694779,0.420275366988793,"PFOA","Clysis",111,0.687723327799843
"fixed",NA,"PFAS_scaled",0.474014865362318,0.293069939718366,1.6174120956173,71.1147636007691,0.110216834333195,"PFOS","Clysis",111,0.220433668666389
"fixed",NA,"PFAS_scaled",-0.156763283099157,0.259446593120526,-0.604221783040847,102.6083641451,0.54702986229915,"PFPES","Clysis",111,0.757425963183438
"fixed",NA,"PFAS_scaled",-0.145358997669385,0.285969948294048,-0.508301653850425,79.0013192444421,0.612658272336225,"PFTEDA","Clysis",111,0.787703493003718
"fixed",NA,"PFAS_scaled",-1.30147065679507,0.277589759906514,-4.68846782112344,67.222787044113,1.3912915915265e-05,"PFTRDA","Clysis",111,6.99252745891359e-05
"fixed",NA,"PFAS_scaled",-1.32929062870398,0.284925977318789,-4.66538938012207,65.9392257159468,1.55389499086969e-05,"PFUNDA","Clysis",111,6.99252745891359e-05
"fixed",NA,"PFAS_scaled",-0.19438366872296,0.290231526797951,-0.669753802653848,73.3420640378537,0.505117942264566,"TOTAL_PFAS","Clysis",111,0.757425963183438
