"PFAS","Response","Best_Model","AIC","R2","Adj_R2","P_value","N","Slope_Global","Delta_Y","Direction","FDR_P"
"NFDHA","log_clysis","linear",14.9001399698498,0,0,NA,45,NA,0,"Flat",NA
"N_MEFOSA","log_clysis","linear",414.051477483936,0,0,NA,106,NA,0,"Flat",NA
"N_MEFOSAA","log_clysis","power",406.803721352266,NA,NA,0.000711769715845336,106,1.41871793032384,1.1605112670049,"Increasing",0.00115662578824867
"N_MEFOSE","log_clysis","linear",414.051477483936,0,0,NA,106,NA,0,"Flat",NA
"PFBA","log_clysis","power",403.844517078748,NA,NA,3.69124965193815e-05,106,1.63556667341125,1.3951383724198,"Increasing",7.3824993038763e-05
"PFBS","log_clysis","exp",416.019100930467,NA,NA,1,106,-3.16791524504828,-0.29461611778949,"Decreasing",1
"PFDA","log_clysis","log",378.845074183526,0.296018924600947,0.289249875799033,1.66200417816039e-09,106,-0.0735810613174059,-4.357985518646,"Decreasing",5.08377748613767e-09
"PFDOA","log_clysis","log",414.126350545284,0.0179976473856794,0.00855531707208013,0.170361578175236,106,-0.0559183168390931,-1.03465661647374,"Decreasing",0.201336410570734
"PFDS","log_clysis","quadratic",407.541069347013,0.0616116905828427,0.0432119198099573,0.0390401987894516,105,0.626103461522106,2.56514588185607,"Increasing",0.0507522584262871
"PFEESA","log_clysis","linear",14.9001399698498,0,0,NA,45,NA,0,"Flat",NA
"PFHPA","log_clysis","log",412.14687595341,0.0361656772368375,0.026898039517961,0.0508680396930157,106,-0.731484798581762,-1.14111628578755,"Decreasing",0.0645155625374833
"PFHPS","log_clysis","log",410.165065911736,0.0540184228992306,0.0449224461963386,0.0165095386165322,106,-0.208616053751442,-2.08449160908441,"Decreasing",0.0225920002120967
"PFHXA","log_clysis","power",346.743115358869,NA,NA,5.86610379509198e-30,106,57.2767618796816,2.46290076082631,"Increasing",3.05037397344783e-28
"PFHXDA","log_clysis","linear",202.181981284403,0,0,NA,61,NA,0,"Flat",NA
"PFHXS","log_clysis","log",366.857241888465,0.371297157407186,0.36525193776687,4.16865090950542e-12,106,-0.880819115322801,-5.51921257661267,"Decreasing",1.97063497540256e-11
"PFMBA","log_clysis","linear",414.051477483936,0,0,NA,106,NA,0,"Flat",NA
"PFMPA","log_clysis","linear",414.051477483936,0,0,NA,106,NA,0,"Flat",NA
"PFNA","log_clysis","log",370.002019044142,0.352365544190463,0.346138289807679,1.99896512784463e-11,106,-0.0257717151581147,-3.82114643477851,"Decreasing",8.66218222066006e-11
"PFNS","log_clysis","log",393.986111670889,0.187926014988511,0.180117611286477,3.4526015506755e-06,106,-2.48913448314765,-1.88427480374277,"Decreasing",8.16069457432392e-06
"PFOA","log_clysis","log",388.704280470239,0.227398915197419,0.219970058612779,2.36970781618491e-07,106,-0.0852246657104554,-2.49708270531634,"Decreasing",6.48551612850607e-07
"PFODA","log_clysis","linear",202.181981284403,0,0,NA,61,NA,0,"Flat",NA
"PFOS","log_clysis","quadratic",400.429619272784,0.153160373631507,0.136716885740856,0.000191319990751324,106,0.00593931670416017,2.91401883319551,"Increasing",0.000343056535140305
"PFPEA","log_clysis","linear",410.548111664808,0,0,NA,105,NA,0,"Flat",NA
"PFPES","log_clysis","linear",416.050137074307,1.26452939073e-05,-0.00960261773211268,0.971140827012877,106,1.50510902391452,0.04665837974135,"Increasing",1
"PFTEDA","log_clysis","quadratic",402.839896444191,0.133683948543292,0.11686227764122,0.000617067402569199,106,0.427019609965676,2.47799479663082,"Increasing",0.00103508080430962
"PFTRDA","log_clysis","log",385.855852938609,0.247883752473923,0.24065186547848,5.6287627551891e-08,106,-0.111386531971169,-3.73712953416467,"Decreasing",1.62608701816574e-07
"chain_long","log_clysis","quadratic",430.371717439888,0.0349404990191725,0.0170690267787867,0.146528093147345,111,-0.0010291237053969,-0.799750555690625,"Decreasing",0.181415734372903
"chain_short","log_clysis","quadratic",419.690336765583,0.123478613664223,0.107246736139486,0.000811289612737064,111,-0.0877944336013944,-1.02473662899548,"Decreasing",0.00127839575340386
"func_amine","log_clysis","log",386.481148577077,0.338309948458962,0.332239397527392,2.16721548562734e-11,111,0.141151649220034,2.24868692372436,"Increasing",8.66886194250935e-11
"func_carboxyl","log_clysis","power",409.702316674087,NA,NA,1.11192449799196e-09,111,-0.0100961251126939,-4.56634613884498,"Decreasing",3.61375461847387e-09
"func_sulfonate","log_clysis","quadratic",422.571335669143,0.100430739927576,0.0837720499262348,0.00329510110306971,111,0.00453210417062054,2.30905268968112,"Increasing",0.00503956639293014
"func_phosphoric","log_clysis","linear",430.319490215,0,0,NA,111,NA,0,"Flat",NA
"age_Legacy","log_clysis","quadratic",430.512136867883,0.0337188877218303,0.0158247930500123,0.156887553081971,111,-0.00103324830657999,-0.808738948284756,"Decreasing",0.189724482796802
"age_next_gen","log_clysis","power",416.852022722354,NA,NA,1.41629324154673e-06,111,1.73561986666802,1.48048374626782,"Increasing",3.50701183621095e-06
