"PFAS","Response","Best_Model","AIC","R2","Adj_R2","P_value","N","Slope_Global","Delta_Y","Direction","FDR_P"
"N_ETFOSAA","log_IgY","quadratic",130.00455393534,0.231742107851983,0.217515109849241,6.56719088258555e-07,111,-0.029887323777378,-0.463402955168245,"Decreasing",5.06611868085171e-06
"N_ETFOSE","log_IgY","quadratic",153.762419802751,0.0483852281474332,0.0307627323723857,0.0686915706681715,111,-4.66340485836187,-0.419706437252568,"Decreasing",0.115917025502539
"NFDHA","log_IgY","linear",-11.6721941076462,0,0,NA,45,NA,0,"Flat",NA
"N_MEFOSA","log_IgY","linear",155.267462305209,0,0,NA,111,NA,0,"Flat",NA
"N_MEFOSAA","log_IgY","power",148.715866846192,NA,NA,0.00142783572668541,111,-0.383488579902644,-0.313693658360363,"Decreasing",0.00367157758290534
"N_MEFOSE","log_IgY","linear",155.267462305209,0,0,NA,111,NA,0,"Flat",NA
"PFBA","log_IgY","log",137.862855538442,0.16038873764964,0.152685882031747,1.32856785561716e-05,111,-0.58715570089805,-0.500843812866036,"Decreasing",5.51866647717896e-05
"PFBS","log_IgY","quadratic",156.998069732283,0.020237396642307,0.00209364472827556,0.331532704119615,111,5.77600822303168,0.537168764741947,"Increasing",0.416343395871145
"PFDA","log_IgY","log",146.052793577893,0.0960968430511249,0.0878041535378324,0.000929678876209143,111,0.0117577548471857,0.69637654633427,"Increasing",0.00264224522712072
"PFDOA","log_IgY","linear",155.968203900091,0.0116367933048339,0.00256924094983246,0.259763861943898,111,-0.0129219001978131,-0.239093919360136,"Decreasing",0.350681213624263
"PFDS","log_IgY","exp",154.398595987421,NA,NA,1,110,-0.0753356527258138,-0.308650169217659,"Decreasing",1
"PFEESA","log_IgY","linear",-11.6721941076462,0,0,NA,45,NA,0,"Flat",NA
"PFHPA","log_IgY","log",155.27337883782,0.017804312384254,0.00879334277310051,0.162672456920859,111,0.143538609147723,0.223920230270447,"Increasing",0.23741385604666
"PFHPS","log_IgY","power",155.567689513202,NA,NA,1,111,0.0326065916486603,0.325805063753414,"Increasing",1
"PFHXA","log_IgY","log",112.114891803723,0.334209294893666,0.328101123287186,3.05245664064142e-11,111,-14.4512605707826,-0.621404204543653,"Decreasing",8.24163292973184e-10
"PFHXDA","log_IgY","linear",74.5274789443813,0,0,NA,66,NA,0,"Flat",NA
"PFHXS","log_IgY","log",127.61072805258,0.234463042433103,0.22743976759304,7.26752099884555e-08,111,0.19915117880144,1.24788128636982,"Increasing",7.84892267875319e-07
"PFMBA","log_IgY","linear",155.267462305209,0,0,NA,111,NA,0,"Flat",NA
"PFMPA","log_IgY","linear",155.267462305209,0,0,NA,111,NA,0,"Flat",NA
"PFNA","log_IgY","power",141.350992991165,NA,NA,9.03970315396734e-07,111,0.00459516224996403,0.681320111639917,"Increasing",6.10179962892796e-06
"PFNS","log_IgY","quadratic",142.59395631926,0.139474272651991,0.123538611034435,0.000300087834493336,111,-1.19716205091394,-0.906251672541852,"Decreasing",0.00101279644141501
"PFOA","log_IgY","power",147.558416783205,NA,NA,0.000448749594401102,111,0.0147293482818133,0.43156990465713,"Increasing",0.00142543988809762
"PFODA","log_IgY","linear",74.5274789443813,0,0,NA,66,NA,0,"Flat",NA
"PFOS","log_IgY","exp",139.059424529478,NA,NA,9.13984080777362e-08,111,-0.00179258540550298,-0.87949976267274,"Decreasing",8.22585672699625e-07
"PFPEA","log_IgY","linear",154.805096996349,0,0,NA,110,NA,0,"Flat",NA
"PFPES","log_IgY","linear",157.233936390998,0.000301989655100273,-0.00886955172421056,0.856345509345233,111,2.02661366493641,0.0628250236130288,"Increasing",0.963388698013388
"PFTEDA","log_IgY","quadratic",150.458350479965,0.0762939334985036,0.0591882656003276,0.0137665456135104,111,-0.13926004929018,-0.808126066030915,"Decreasing",0.0309747276303984
"PFTRDA","log_IgY","linear",152.846528955925,0.0390455103063832,0.030229414070662,0.0376342924685101,111,0.0144672001025418,0.485389030640379,"Increasing",0.0655565094612756
"TOTAL_PFAS","log_IgY","quadratic",149.452625737823,0.0846254480362516,0.0676740674443302,0.00843989545662543,111,-0.000963847262974295,-0.519701624959425,"Decreasing",0.019815406724251
"chain_long","log_IgY","linear",157.890709018524,0.0257140203230686,0.0172419683258779,0.0841521149737152,117,-0.000489326410060931,-0.380264361133731,"Decreasing",0.137703460866079
"chain_short","log_IgY","exp",159.082659476923,NA,NA,1,117,0.0312681575265014,0.364961934649324,"Increasing",1
"func_amine","log_IgY","quadratic",136.725197949874,0.200721813841211,0.186699389522636,2.84304505842351e-06,117,-0.0301738858526846,-0.480700175519119,"Decreasing",1.43680388395676e-05
"func_carboxyl","log_IgY","exp",156.749189157532,NA,NA,0.111981990122512,117,0.00101153624733779,0.457504694699669,"Increasing",0.171641656043354
"func_sulfonate","log_IgY","exp",145.380317720446,NA,NA,1.2933320824423e-06,117,-0.00151659357989966,-0.772686229835918,"Decreasing",7.75999249465378e-06
"func_phosphoric","log_IgY","linear",158.938606380627,0,0,NA,117,NA,0,"Flat",NA
"age_Legacy","log_IgY","linear",157.996991087568,0.0248285829239506,0.0163488314711154,0.0897521017729135,117,-0.000477150573105285,-0.373472910828103,"Decreasing",0.14254745575698
"age_next_gen","log_IgY","log",138.599050213771,0.173814849551619,0.166630630852068,2.92682272657859e-06,117,-0.591477474175024,-0.504530285471296,"Decreasing",1.43680388395676e-05
